name,smiles,p_crbn_glue,ppil4_affinity_kcal_mol,p_ppil4_bind,mgd_composite_score,error
cand_333,Nc1cc2c(cc1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,-6.3,0.45016600268752205,0.4096510624456451,
cand_334,COc1c(Cl)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,-5.892,0.3525155598344842,0.3119762704535185,
cand_335,O=C1CCC(N2C(=O)c3cc(F)cc(I)c3C2=O)C(=O)N1,0.935,-6.005,0.3787164048089321,0.3540998384963515,
cand_336,Cc1cc2c(cc1N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,-5.928,0.36077546348243683,0.32830567176901754,
cand_337,NC(=O)c1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-6.349,0.46232156497496213,0.4299590554267148,
cand_338,NC(=O)c1c(N)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.145,0.41217046151748843,0.3812576769036768,
cand_339,N#Cc1cc(C(N)=O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.9,-6.427,0.4817581002042618,0.43358229018383565,
cand_340,O=C1CCC(N2C(=O)c3cc(I)c(I)cc3C2=O)C(=O)N1,0.97,-5.623,0.2937998381134745,0.28498584297007024,
cand_341,CNc1cc(N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-5.908,0.3561760931292444,0.33302464707584356,
cand_342,CN(C)c1cc2c(cc1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,-6.052,0.3898363890571893,0.3586494779326142,
cand_343,CN(C)c1ccc(O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-5.656,0.300693007141384,0.28565835678431484,
cand_344,NC(=O)c1ccc(C(=O)O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.905,-6.146,0.4124127687511987,0.37323355571983485,
cand_345,Cc1ccc2c(c1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.026,0.38366993526996107,0.364486438506463,
cand_346,CNc1ccc(O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.22,0.43045377606077095,0.4046265494971247,
cand_347,CN(C)c1ccc2c(c1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-6.021,0.38248828845677607,0.35571410826480176,
cand_348,O=C1CCC(N2C(=O)c3ccc(I)c(C(F)(F)F)c3C2=O)C(=O)N1,0.955,-6.148,0.41289751045783035,0.39431712248722794,
cand_349,NS(=O)(=O)c1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.409,0.47726568640604844,0.453402402085746,
cand_350,O=C1CCC(N2C(=O)c3ccc(Cl)c(C(=O)O)c3C2=O)C(=O)N1,0.92,-6.479,0.4947501929289918,0.4551701774946725,
cand_351,CN(C)c1cc2c(c(C(F)(F)F)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.069,0.39388756610077963,0.3741931877957406,
cand_352,N#Cc1cc(Cl)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.144,0.4119281968435018,0.3872125050328917,
cand_353,CN(C)c1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-5.789,0.3293779144108152,0.30632146040205815,
cand_354,Cc1ccc(C(N)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,-6.31,0.45264238185691064,0.4119045674897887,
cand_355,Nc1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-5.965,0.36935147434892557,0.34719038588799,
cand_356,NC(=O)c1cc(C(=O)O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.89,-6.169,0.41799732766582764,0.3720176216225866,
cand_357,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)cc(Br)c3C2=O)C(=O)N1,0.93,-6.288,0.4471976145553064,0.41589378153643497,
cand_358,N#Cc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.9,-6.181,0.42091947482742115,0.37882752734467906,
cand_359,N#Cc1c(N)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-6.086,0.3979533851333068,0.3760659489509749,
cand_360,N#Cc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,-6.247,0.4370852351277012,0.40211841631748513,
cand_361,NS(=O)(=O)c1cc(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,-5.875,0.34864513533394575,0.31901029883056037,
cand_362,NS(=O)(=O)c1cc2c(cc1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.308,0.45214691443837246,0.4295395687164538,
cand_363,COc1ccc(Br)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-5.644,0.2981757371914264,0.2787943142739837,
cand_364,O=C1CCC(N2C(=O)c3cc(F)cc(Br)c3C2=O)C(=O)N1,0.92,-5.985,0.37402214223339625,0.34410037085472456,
cand_365,Cc1cc(C(=O)O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.43,0.48250714233361014,0.4535567137935935,
cand_366,CCc1cc(C(=O)O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-6.372,0.46804361920235915,0.44230122014622936,
cand_367,CN(C)c1cc(S(N)(=O)=O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-6.299,0.44991849846956017,0.41842420357669097,
cand_368,Nc1cc(S(N)(=O)=O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.378,0.46953777394492313,0.44606088524767695,
cand_369,Nc1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.032,0.3850897258928416,0.36776068822766367,
cand_370,CCc1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-6.022,0.3827245071932094,0.35593379168968475,
cand_371,CNc1ccc(Cl)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-5.933,0.36192934696513657,0.3347846459427513,
cand_372,Cc1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-6.07,0.39412633156823945,0.3685081200163039,
cand_373,CN(C)c1cc(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-5.717,0.3136736778245959,0.29955836232248906,
cand_374,Cc1c([N+](=O)[O-])ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,-6.175,0.41945769517934034,0.3838037910890964,
cand_375,Cc1c(C(=O)O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.212,0.4284935705324441,0.4027839563004974,
cand_376,CCc1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-5.927,0.3605448790762277,0.34432035951779744,
cand_377,O=C1CCC(N2C(=O)c3c(F)ccc(C(=O)O)c3C2=O)C(=O)N1,0.94,-6.39,0.47252769565540614,0.44417603391608174,
cand_378,O=C1CCC(N2C(=O)c3cc(C(=O)O)cc(C(=O)O)c3C2=O)C(=O)N1,0.95,-6.416,0.47901233929346776,0.4550617223287943,
cand_379,O=C1CCC(N2C(=O)c3ccc(Cl)c(O)c3C2=O)C(=O)N1,0.95,-5.985,0.37402214223339625,0.3553210351217264,
cand_380,CN(C)c1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.158,0.4153237351045503,0.3945575483493228,
cand_381,O=C1CCC(N2C(=O)c3cc(O)c(Cl)cc3C2=O)C(=O)N1,0.98,-5.849,0.3427642250070577,0.33590894050691655,
cand_382,O=C1CCC(N2C(=O)c3ccc(C(F)(F)F)c(C(F)(F)F)c3C2=O)C(=O)N1,0.915,-6.318,0.4546251805350073,0.41598204018953167,
cand_383,COc1ccc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,-6.112,0.40419885255655175,0.3900518927170724,
cand_384,NC(=O)c1cc2c(c(C(F)(F)F)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.905,-6.191,0.4233588462724935,0.3831397558766066,
cand_385,CNc1cc(C)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,-6.203,0.42629102139255,0.392187739681146,
cand_386,CCc1ccc2c(c1OC)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.89,-5.865,0.34637766910049606,0.3082761254994415,
cand_387,CN(C)c1cc(Cl)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,-5.885,0.35091947575542665,0.33688269672520954,
cand_388,COc1ccc2c(c1C(F)(F)F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,-6.336,0.45909164817761844,0.4407279822505137,
cand_389,Cc1cc(N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-6.176,0.41970122771085155,0.3966176601867547,
cand_390,O=C1CCC(N2C(=O)c3cc(F)cc(O)c3C2=O)C(=O)N1,0.945,-6.133,0.409266125741045,0.3867564888252875,
cand_391,COc1cc2c(cc1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.521,0.5052498070710081,0.4825135657528127,
cand_392,O=C1CCC(N2C(=O)c3ccc(O)c(I)c3C2=O)C(=O)N1,0.96,-5.693,0.3085301456820691,0.29618893985478634,
cand_393,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)c(C(F)(F)F)cc3C2=O)C(=O)N1,0.93,-6.682,0.5453748194649927,0.5071985821024432,
cand_394,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)cc([N+](=O)[O-])c3C2=O)C(=O)N1,0.895,-6.377,0.4692887094999521,0.42001339500245716,
cand_395,NC(=O)c1c([N+](=O)[O-])ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,-6.72,0.5547792351072146,0.4909796230698849,
cand_396,O=C1CCC(N2C(=O)c3c(O)ccc(Br)c3C2=O)C(=O)N1,0.93,-5.882,0.35023645675031195,0.3257199047777901,
cand_397,Cc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-6.003,0.37824593850636834,0.35365995250345444,
cand_398,O=C1CCC(N2C(=O)c3ccc(Cl)c(C(F)(F)F)c3C2=O)C(=O)N1,0.945,-6.137,0.4102335450181969,0.38767070004219606,
cand_399,Nc1c(S(N)(=O)=O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.461,0.4902512356245619,0.4657386738433338,
cand_400,NC(=O)c1cc2c(cc1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.368,0.467047832658105,0.44369544102519975,
cand_401,CCc1cc2c(cc1NC)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-5.835,0.3396173269207839,0.31584411403632906,
cand_402,N#Cc1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.356,0.4640620792755912,0.43621835451905566,
cand_403,COc1cc2c(cc1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.141,0.4112016592783589,0.3865295597216573,
cand_404,Nc1ccc(Br)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,-5.82,0.3362613025956474,0.3076790918750174,
cand_405,NS(=O)(=O)c1ccc(I)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.144,0.4119281968435018,0.3810335820802392,
cand_406,CNc1c(C#N)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,-6.159,0.41556658557814696,0.4010217550829118,
cand_407,CCc1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,-6.144,0.4119281968435018,0.36455645420649907,
cand_408,Nc1c(C(F)(F)F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.905,-6.107,0.40299532086175255,0.36471076537988606,
cand_409,Nc1ccc(C(F)(F)F)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,-6.194,0.42409139255332623,0.3753208824096937,
cand_410,CCc1ccc(NC)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,-6.138,0.41047550870181543,0.37558509046216115,
cand_411,O=C1CCC(N2C(=O)c3ccc(C(=O)O)c(C(F)(F)F)c3C2=O)C(=O)N1,0.93,-6.269,0.44250543686239424,0.41153005628202666,
cand_412,CN(C)c1ccc2c(c1N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-5.819,0.336038149514066,0.31587586054322203,
cand_413,CN(C)c1cc2c(cc1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-5.922,0.35939292336051193,0.3432202418092889,
cand_414,CCc1ccc2c(c1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2=O,0.865,-5.95,0.36586440898919936,0.31647271377565744,
cand_415,N#Cc1ccc2c(c1N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.89,-6.633,0.5332010732738305,0.47454895521370916,
cand_416,Nc1ccc(O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-5.962,0.36865295576584783,0.3483770431987262,
cand_417,CNc1ccc(C)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.905,-6.008,0.37942253207290905,0.3433773915259827,
cand_418,COc1cc(N(C)C)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,-5.808,0.3335883110696085,0.32024477862682416,
cand_419,Cc1ccc(N(C)C)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,-5.825,0.33737816282991756,0.3087010189893746,
cand_420,NC(=O)c1cc2c(cc1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,-6.282,0.44571481732653206,0.43011479872010344,
cand_421,O=C1CCC(N2C(=O)c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3C2=O)C(=O)N1,0.91,-6.181,0.42091947482742115,0.38303672209295325,
cand_422,N#Cc1ccc(C(N)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-6.535,0.5087491068802404,0.4756804149330248,
cand_423,COc1cc(C(=O)O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-6.079,0.39627748369828353,0.3705194472578951,
cand_424,NC(=O)c1ccc(C(N)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,-6.096,0.4003516774075941,0.36832354321498656,
cand_425,Nc1c(F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,-5.796,0.33092597374873256,0.3209981945362706,
cand_426,CNc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-5.979,0.3726184299883845,0.3465351398891976,
cand_427,CN(C)c1c(C(=O)O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,-5.726,0.31561446181158487,0.30298988333912147,
cand_428,CCc1cc(N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,-6.048,0.3888853534879901,0.35777452520895087,
cand_429,CCc1ccc2c(c1CC)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,-5.957,0.36748998218456586,0.3362533336988778,
cand_430,O=C1CCC(N2C(=O)c3ccc(O)c(C(F)(F)F)c3C2=O)C(=O)N1,0.95,-6.114,0.4046805889780738,0.38444655952917006,
cand_431,NS(=O)(=O)c1ccc2c(c1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,-6.205,0.42678022732016513,0.3905039079979511,
cand_432,O=C1CCC(N2C(=O)c3ccc(C(=O)O)c(Cl)c3C2=O)C(=O)N1,0.94,-6.231,0.4331526100285035,0.4071634534267933,
cand_433,N#Cc1ccc(S(N)(=O)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.358,0.4645595317963001,0.4366859598885221,
cand_434,NC(=O)c1cc2c(c([N+](=O)[O-])c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.855,-6.319,0.45487313289089665,0.3889165286217166,
cand_435,O=C1CCC(N2C(=O)c3cc(Br)c(I)cc3C2=O)C(=O)N1,0.945,-5.736,0.3177784535993239,0.30030063865136103,
cand_436,O=C1CCC(N2C(=O)c3cc(C(=O)O)cc(Cl)c3C2=O)C(=O)N1,0.935,-6.24,0.4353637081969709,0.4070650671641678,
cand_437,O=C1CCC(N2C(=O)c3cc(I)cc(O)c3C2=O)C(=O)N1,0.97,-5.965,0.36935147434892557,0.3582709301184578,
cand_438,Cc1ccc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.905,-6.203,0.42629102139255,0.38579337436025773,
cand_439,Nc1cc(Cl)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-5.898,0.35388625870237533,0.33796137706076845,
cand_440,O=C1CCC(N2C(=O)c3cc(Cl)c(Br)cc3C2=O)C(=O)N1,0.945,-5.892,0.3525155598344842,0.33312720404358753,
cand_441,Cc1cc2c(cc1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.092,0.3993917804487254,0.38141915032853274,
cand_442,NC(=O)c1cc2c(cc1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-6.269,0.44250543686239424,0.41374258346633863,
cand_443,NC(=O)c1cc2c(cc1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-6.139,0.4107175157126606,0.38402087719133765,
cand_444,O=C1CCC(N2C(=O)c3ccc([N+](=O)[O-])c(F)c3C2=O)C(=O)N1,0.915,-6.474,0.49350036614191556,0.45155283501985277,
cand_445,O=C1CCC(N2C(=O)c3cc(O)c(C(=O)O)cc3C2=O)C(=O)N1,0.975,-6.463,0.4907510551263868,0.4784822787482271,
cand_446,O=C1CCC(N2C(=O)c3ccc(Cl)c([N+](=O)[O-])c3C2=O)C(=O)N1,0.91,-6.062,0.39221763226527295,0.3569180453613984,
cand_447,O=C1CCC(N2C(=O)c3cc(I)cc(C(F)(F)F)c3C2=O)C(=O)N1,0.97,-5.994,0.37613168601042085,0.36484773543010823,
cand_448,CNc1c([N+](=O)[O-])ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.905,-5.761,0.3232228549210944,0.29251668370359046,
cand_449,Cc1ccc2c(c1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,-6.147,0.41265511843466296,0.3775794333677166,
cand_450,Nc1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,-6.184,0.4216508866117617,0.40478485114729124,
cand_451,NS(=O)(=O)c1ccc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.37,0.4675456936126812,0.4441684089320471,
cand_452,Nc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-5.974,0.3714503067307394,0.343591533725934,
cand_453,CCc1cc(C(N)=O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.895,-6.049,0.38912303341323495,0.3482651149048453,
cand_454,CCc1ccc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.905,-5.843,0.34141384156335525,0.3089795266148365,
cand_455,Cc1cc2c(cc1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.427,0.4817581002042618,0.45285261419200606,
cand_456,N#Cc1cc(F)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-6.213,0.42873847485481387,0.4051578587377991,
cand_457,NC(=O)c1cc(N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.183,0.42140704432047793,0.400336692104454,
cand_458,NC(=O)c1cc(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-6.404,0.4760184150288955,0.4498374022023062,
cand_459,CNc1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-5.981,0.3730860968480159,0.3469700700686548,
cand_460,CCc1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,-5.965,0.36935147434892557,0.3361098416575223,
cand_461,CNc1ccc2c(c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,-6.087,0.3981929960532166,0.38226527621108797,
cand_462,COc1ccc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,-6.163,0.41653839648976954,0.4040422445950764,
cand_463,COc1c(N)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-5.826,0.33760175331005493,0.3122816218118008,
cand_464,COc1cc2c(cc1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,-6.296,0.4491761350327461,0.4312090896314363,
cand_465,COc1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,-6.295,0.448928730692658,0.43321622511841495,
cand_466,Cc1ccc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,-6.033,0.3853265487153865,0.37184011951034796,
cand_467,COc1cc2c(cc1OC)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,-6.495,0.49875000260416025,0.48129375251301465,
cand_468,Cc1ccc(I)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,-5.958,0.36772245406522486,0.33646604546968073,
cand_469,Nc1ccc(C(=O)O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,-6.265,0.44151888756183855,0.4061973765568915,
cand_470,COc1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-5.666,0.3027999561061046,0.2831179589592078,
cand_471,NC(=O)c1cc([N+](=O)[O-])cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.9,-6.61,0.5274723043445938,0.4747250739101344,
cand_472,COc1ccc(C(=O)O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-6.205,0.42678022732016513,0.40330731481755605,
cand_473,CNc1c(C(=O)O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-5.99,0.37519352553157076,0.35830981688265007,
cand_474,NS(=O)(=O)c1cc2c(cc1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.431,0.48275684068067043,0.4465500776296202,
cand_475,Cc1c(Cl)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.079,0.39627748369828353,0.37844499693186073,
cand_476,CNc1ccc(I)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-5.786,0.3287155896175438,0.3073490762924035,
cand_477,CCc1cc(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,-6.223,0.4311894189608038,0.4139418422023716,
cand_478,N#Cc1cc(C(F)(F)F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.341,0.4603335321412476,0.4396185231948915,
cand_479,N#Cc1ccc(C(F)(F)F)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,-6.411,0.47776467523002647,0.4347658544593241,
cand_480,CCc1ccc(S(N)(=O)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.895,-6.08,0.3965167501352737,0.35488249137107,
cand_481,CCc1ccc(C(=O)O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,-6.175,0.41945769517934034,0.3817065026131997,
cand_482,NS(=O)(=O)c1ccc2c(c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-6.527,0.5067495899673914,0.47887836251918486,
cand_483,N#Cc1c(Cl)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.329,0.4573538673545377,0.4230523273029474,
cand_484,O=C1CCC(N2C(=O)c3cc(I)cc(C(=O)O)c3C2=O)C(=O)N1,0.96,-6.001,0.37777570127268073,0.3626646732217735,
cand_485,N#Cc1cc(N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,-6.064,0.39269450082477253,0.37895019329590546,
cand_486,Nc1cc2c(cc1C(F)(F)F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.037,0.38627438221524524,0.35730380354910185,
cand_487,CNc1ccc([N+](=O)[O-])c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.875,-5.749,0.32060344488414383,0.28052801427362584,
cand_488,O=C1CCC(N2C(=O)c3cc(C(=O)O)cc(C(F)(F)F)c3C2=O)C(=O)N1,0.95,-6.152,0.4138674997437005,0.3931741247565155,
cand_489,NS(=O)(=O)c1cc2c(cc1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,-6.486,0.49650005716554624,0.47664005487892436,
cand_490,O=C1CCC(N2C(=O)c3ccc(O)c(C(=O)O)c3C2=O)C(=O)N1,0.94,-6.213,0.42873847485481387,0.403014166363525,
cand_491,O=C1CCC(N2C(=O)c3c(F)ccc(F)c3C2=O)C(=O)N1,0.965,-5.963,0.3688857342751898,0.35597473357555814,
cand_492,O=C1CCC(N2C(=O)c3ccc(C(F)(F)F)c(I)c3C2=O)C(=O)N1,0.915,-5.996,0.3766011154303848,0.3445900206188021,
cand_493,O=C1CCC(N2C(=O)c3cc(O)cc(Cl)c3C2=O)C(=O)N1,0.955,-6.091,0.39915192661382193,0.3811900899161999,
cand_494,Cc1cc(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,-5.973,0.37121686178310914,0.3582242716207003,
cand_495,CN(C)c1ccc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,-5.961,0.36842023839800847,0.35552553005407816,
cand_496,CNc1ccc(F)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.193,0.4238471732287111,0.40265481456727553,
cand_497,O=C1CCC(N2C(=O)c3ccc(C(F)(F)F)c(F)c3C2=O)C(=O)N1,0.895,-6.061,0.3919792750146393,0.3508214511381022,
cand_498,Cc1cc(C)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,-5.998,0.37707077661573785,0.3469051144864788,
cand_499,CNc1ccc(N(C)C)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-5.649,0.2992231267872398,0.28126973918000536,
